Очень темный зеленый;144,41,15;22,37,28;41,0,24,85;16251C
Темный весенне-зеленый;150,80,45;23,114,69;80,0,39,55;177245
Мокрый тропический лес;169,82,50;23,128,109;82,0,15,50;17806D
Зеленовато-черный;24,21,9;24,21,19;0,12,21,91;181513
Черно-синий;252,18,11;24,23,28;14,18,0,89;18171C
Синий чирок;185,87,71;24,167,181;87,8,0,29;18A7B5
Полуночный черный;240,78,44;25,25,112;78,78,0,56;191970
Перламутровый опаловый;180,55,22;25,55,55;55,0,0,78;193737
Темно-синий Крайола;210,88,82;25,116,210;88,45,0,18;1974D2
Глубокий пурпурно-синий;247,67,25;26,21,63;59,67,0,75;1A153F
Темный пурпурно-синий;252,48,16;26,22,42;38,48,0,84;1A162A
Цвет Черного моря;214,80,50;26,71,128;80,45,0,50;1A4780
Полуночный синий Крайола;210,78,46;26,72,118;78,39,0,54;1A4876
Пурпурно-черный;330,37,11;27,17,22;0,37,19,89;1B1116
Капри синий;207,79,51;27,85,131;79,35,0,49;1B5583
Графитно-черный;0,0,11;28,28,28;0,0,0,89;1C1C1C
Перламутрово-зеленый;138,67,33;28,84,45;67,0,46,67;1C542D
Мурена;185,75,45;28,107,114;75,6,0,55;1C6B72
Тихоокеанский синий;191,86,79;28,169,201;86,16,0,21;1CA9C9
Зеленый Крайола;158,84,67;28,172,120;84,0,30,33;1CAC78
Карибский зеленый;164,87,83;28,211,162;87,0,23,17;1CD3A2
Черновато-пурпурный;323,45,11;29,16,24;0,45,17,89;1D1018
Сапфирово-синий;237,43,20;29,30,51;43,41,0,80;1D1E33
Океанская синь;211,61,29;29,51,74;61,31,0,71;1D334A
Лазурный Крайола;194,86,84;29,172,214;86,20,0,16;1DACD6
Красновато-черный;355,43,12;30,17,18;0,43,40,88;1E1112
Транспортный черный;0,0,12;30,30,30;0,0,0,88;1E1E1E
Кобальтово-синий;234,51,24;30,33,61;51,46,0,76;1E213D
Сигнальный синий;235,69,38;30,36,96;69,63,0,62;1E2460
Бирюзово-зеленый;160,66,35;30,89,69;66,0,22,65;1E5945
Защитно-синий;210,88,100;30,144,255;88,44,0,0;1E90FF
Черновато-красный;349,55,12;31,14,17;0,55,45,88;1F0E11
Зелено-синий;190,45,22;31,52,56;45,7,0,78;1F3438
Сине-зеленый;186,49,24;31,58,61;49,5,0,76;1F3A3D
Цвет Красного моря;164,52,25;31,64,55;52,0,14,75;1F4037
Синий Крайола;217,88,100;31,117,254;88,54,0,0;1F75FE
Синий цвета яиц странствующего дрозда;179,85,81;31,206,203;85,0,1,19;1FCECB
Очень пурпурно-синий;249,78,37;32,21,94;66,78,0,63;20155E
Ультрамариново-синий;239,59,31;32,33,79;59,58,0,69;20214F
Зеленый темный;136,45,23;32,58,39;45,0,33,77;203A27
Мятно-зеленый;147,67,38;32,96,61;67,0,36,62;20603D
Светлое зеленое море;177,82,70;32,178,170;82,0,4,30;20B2AA
Черно-коричневый;0,0,13;33,33,33;0,0,0,87;212121
Миртовый;115,55,26;33,66,30;50,0,55,74;21421E
Небесно-синий;207,81,70;34,113,179;81,37,0,30;2271B3
Лесной зеленый;120,76,55;34,139,34;76,0,76,45;228B22
Очень темно-пурпурный;305,63,14;35,13,33;0,63,6,86;230D21
Стально-синий;294,28,14;35,26,36;3,28,0,86;231A24
Черно-серый;203,19,17;35,40,43;19,7,0,83;23282B
Темный оливково-зеленый;85,50,17;35,44,22;20,0,50,83;232C16
Глубокий фиолетово-черный;277,83,21;36,9,53;32,83,0,79;240935
Коричнево-оливковый;42,27,15;37,34,27;0,8,27,85;25221B
Ночной синий;236,54,31;37,40,80;54,50,0,69;252850
Водная синь;190,70,48;37,109,123;70,11,0,52;256D7B
Темный серо-синий;248,18,18;38,37,45;16,18,0,82;26252D
Очень темный красновато-пурпурный;317,74,15;39,10,31;0,74,21,85;270A1F
Темно-сероватый оливково-зеленый;55,33,15;39,38,26;0,3,33,85;27261A
Очень темный пурпурно-красный;325,83,16;40,7,26;0,83,35,84;28071A
Сигнальный черный;0,0,16;40,40,40;0,0,0,84;282828
Изумрудно-зеленый;129,65,45;40,114,51;65,0,55,55;287233
Антрацитово-серый;192,20,20;41,49,51;20,4,0,80;293133
Зеленые джунгли Крайола 1990 года;163,76,67;41,171,135;76,0,21,33;29AB87
Перламутровый горечавково-синий;195,65,47;42,100,120;65,17,0,53;2A6478
Блестящий зеленовато-синий;188,73,61;42,141,156;73,10,0,39;2A8D9C
Темный серовато-оливковый;42,47,17;43,37,23;0,14,47,83;2B2517
Светлый джинсовый;215,78,77;43,108,196;78,45,0,23;2B6CC4
Темный серовато-синий;202,20,22;44,51,55;20,7,0,78;2C3337
Сосновый зеленый;157,48,33;44,85,69;48,0,19,67;2C5545
Лиственно-зеленый;119,49,34;45,87,44;48,0,49,66;2D572C
Хромовый зеленый;91,40,23;46,58,35;21,0,40,77;2E3A23
Зеленое море;146,67,55;46,139,87;67,0,37,45;2E8B57
Гранитовый серый (гранитный);210,20,23;47,53,59;20,10,0,77;2F353B
Зеленый мох;145,32,27;47,69,56;32,0,19,73;2F4538
Аспидно-серый;180,41,31;47,79,79;41,0,0,69;2F4F4F
Умеренный синевато-зеленый;163,53,40;47,101,86;53,0,15,60;2F6556
Темный оливково-коричневый;30,63,19;48,33,18;0,31,63,81;302112
Темный желтовато-зеленый;104,49,29;48,75,38;36,0,49,71;304B26
Умеренный зеленовато-синий;189,55,42;48,98,107;55,8,0,58;30626B
Транспортный зеленый;136,64,52;48,132,70;64,0,47,48;308446
Горный луг;161,74,73;48,186,143;74,0,23,27;30BA8F
Бирюзовый;175,77,84;48,213,200;77,0,6,16;30D5C8
Темный индиго;270,100,38;49,0,98;50,100,0,62;310062
Пихтовый зеленый;90,22,22;49,55,43;11,0,22,78;31372B
Темный зеленовато-желтовато-зеленый;112,14,22;49,56,48;13,0,14,78;313830
Патиново-зеленый;155,52,40;49,102,80;52,0,22,60;316650
Сигнальный зеленый;134,61,50;49,127,67;61,0,47,50;317F43
Очень темный красный;339,80,20;50,10,24;0,80,52,80;320A18
Очень глубокий пурпурный;296,79,21;50,11,53;6,79,0,79;320B35
Темный красновато-коричневый;358,68,20;50,16,17;0,68,66,80;321011
Персидский индиго;258,85,48;50,18,122;59,85,0,52;32127A
Ивово-коричневый;0,60,20;50,20,20;0,60,60,80;321414
Темный серовато-коричневый;20,48,20;50,34,26;0,32,48,80;32221A
Фиолетово-синий Крайола;229,72,70;50,74,178;72,58,0,30;324AB2
Лаймово-зеленый;120,76,80;50,205,50;76,0,76,20;32CD32
Серая умбра;26,14,20;51,47,44;0,8,14,80;332F2C
Бутылочно-зеленый;83,31,23;52,59,41;12,0,31,77;343B29
Черно-зеленый;190,19,25;52,62,64;19,3,0,75;343E40
Коричневый темный;16,77,21;53,23,12;0,57,77,79;35170C
Фиолетово-синий;217,54,45;53,77,115;54,33,0,55;354D73
Охотничий зеленый;129,44,37;53,94,59;44,0,37,63;355E3B
Травяной зеленый;112,57,41;53,104,45;49,0,57,59;35682D
Очень темный оливковый;43,67,21;54,44,18;0,19,67,79;362C12
Темный серовато-красновато-коричневый;7,49,22;55,31,28;0,44,49,78;371F1C
Сепия коричневый;32,46,22;56,44,30;0,21,46,78;382C1E
Умеренный зеленый;138,45,40;56,102,70;45,0,31,60;386646
Коричнево-зеленый;44,26,22;57,53,42;0,7,26,78;39352A
Умеренный синий;211,53,47;57,87,120;53,27,0,53;395778
Синий Клейна;214,70,77;58,117,196;70,40,0,23;3A75C4
Черно-оливковый;70,10,24;59,60,54;2,0,10,76;3B3C36
Темно-голубой;207,69,74;59,131,189;69,31,0,26;3B83BD
Зеленые джунгли Крайола;163,66,69;59,176,143;66,0,19,31;3BB08F
Море умеренного зеленого цвета;147,66,70;60,179,113;66,0,37,30;3CB371
Бистр;24,49,24;61,43,31;0,30,49,76;3D2B1F
Папоротниково-зеленый;103,55,39;61,100,45;39,0,55,61;3D642D
Серо-оливковый;45,19,24;62,59,50;0,5,19,76;3E3B32
Бриллиантово-синий;214,55,54;62,95,138;55,31,0,46;3E5F8A
Темный желтовато-коричневый;25,71,25;63,37,18;0,41,71,75;3F2512
Бирюзово-синий;185,56,56;63,136,143;56,5,0,44;3F888F
